rollout/ep_rew_mean,time/episodes,rollout/ep_len_mean,time/fps,rollout/exploration_rate,time/total_timesteps,time/time_elapsed,train/loss,train/n_updates,train/learning_rate
1.37,792,185.55,2833,0.8619156000000003,145352,51,0.004986925050616264,11918,0.0005
1.36,796,184.93,2832,0.8614292,145864,51,0.0032364886719733477,11982,0.0005
1.35,800,184.64,2831,0.8607603999999998,146568,51,0.001377451466396451,12070,0.0005
1.37,804,185.68,2830,0.8600384000000001,147328,52,0.12084414064884186,12165,0.0005
1.34,808,184.44,2830,0.8594379999999997,147960,52,0.0012167483801022172,12244,0.0005
1.34,812,184.35,2829,0.8586627999999996,148776,52,0.0031686904840171337,12346,0.0005
1.34,816,184.41,2828,0.8578800000000002,149600,52,0.0020557017996907234,12449,0.0005
1.3,820,183.32,2827,0.8572035999999998,150312,53,0.04240574315190315,12538,0.0005
1.26,824,181.69,2826,0.8562536,151312,53,0.09466934204101562,12663,0.0005
1.32,828,184.14,2825,0.8557140000000002,151880,53,0.0007595583447255194,12734,0.0005
1.35,832,185.81,2824,0.8552123999999995,152408,53,0.0012624671217054129,12800,0.0005
1.37,836,186.53,2823,0.85446,153200,54,0.0007421319605782628,12899,0.0005
1.31,840,184.79,2823,0.8537988,153896,54,0.0010316027328372002,12986,0.0005
1.31,844,185.04,2822,0.8528564000000003,154888,54,0.0005577183328568935,13110,0.0005
1.26,848,183.12,2821,0.8525751999999996,155184,54,0.005762937944382429,13147,0.0005
1.32,852,185.15,2820,0.8514731999999996,156344,55,0.006199836730957031,13292,0.0005
1.35,856,185.97,2820,0.8508271999999999,157024,55,0.0011082335840910673,13377,0.0005
1.34,860,185.83,2818,0.8497935999999998,158112,56,0.1926984041929245,13513,0.0005
1.4,864,188.44,2816,0.8491172000000003,158824,56,0.0005173638346605003,13602,0.0005
1.35,868,186.46,2816,0.8480607999999995,159936,56,0.019877737388014793,13741,0.0005
1.36,872,186.66,2815,0.8476428000000001,160376,56,0.018051616847515106,13796,0.0005
1.38,876,188.52,2814,0.8466624000000005,161408,57,0.0009854404488578439,13925,0.0005
1.4,880,189.27,2813,0.8460392000000004,162064,57,0.002176612615585327,14007,0.0005
1.41,884,189.74,2812,0.8453324000000002,162808,57,0.10061821341514587,14100,0.0005
1.4,888,189.98,2811,0.8445799999999997,163600,58,0.0007342336466535926,14199,0.0005
1.4,892,190.1,2810,0.8437972000000004,164424,58,0.0028157406486570835,14302,0.0005
1.43,896,191.26,2809,0.8432271999999997,165024,58,0.0005852931062690914,14377,0.0005
1.46,900,192.56,2808,0.8422924000000003,166008,59,0.0026831855066120625,14500,0.0005
1.48,904,193.29,2808,0.8417072000000003,166624,59,0.0016149702714756131,14577,0.0005
1.48,908,193.65,2807,0.8411675999999996,167192,59,0.018413599580526352,14648,0.0005
1.46,912,193.19,2806,0.8402251999999999,168184,59,0.0007635486545041203,14772,0.0005
1.45,916,192.81,2805,0.8397007999999996,168736,60,0.014946953393518925,14841,0.0005
1.42,920,191.74,2803,0.8391231999999998,169344,60,0.0005426290445029736,14917,0.0005
1.39,924,190.97,2803,0.8382948000000003,170216,60,0.00021800037939101458,15026,0.0005
1.36,928,190.24,2802,0.8377096000000004,170832,60,0.0018123181071132421,15103,0.0005
1.34,932,188.78,2801,0.8370484000000004,171528,61,0.0005322020733729005,15190,0.0005
1.31,936,188.02,2800,0.8363568000000005,172256,61,0.0010027219541370869,15281,0.0005
1.37,940,190.06,2797,0.8354752000000004,173184,61,0.00030318109202198684,15397,0.0005
1.36,944,189.51,2796,0.8350799999999996,173600,62,0.002707428764551878,15449,0.0005
1.35,948,188.52,2795,0.8343732000000004,174344,62,0.007504924666136503,15542,0.0005
1.31,952,186.7,2794,0.8335676000000004,175192,62,0.0029929322190582752,15648,0.0005
1.33,956,187.29,2793,0.8330128000000003,175776,62,0.0015525774797424674,15721,0.0005
1.33,960,186.99,2793,0.8322299999999999,176600,63,0.0003880714939441532,15824,0.0005
1.29,964,185.23,2792,0.8313483999999999,177528,63,0.0008164442842826247,15940,0.0005
1.32,968,186.24,2792,0.8308315999999998,178072,63,0.000511606631334871,16008,0.0005
1.28,972,185.26,2791,0.8298968000000003,179056,64,0.0025654956698417664,16131,0.0005
1.26,976,184.09,2790,0.8292811999999995,179704,64,0.0006611781427636743,16212,0.0005
1.27,980,184.37,2789,0.8281563999999999,180888,64,0.000352521485183388,16360,0.0005
1.31,984,185.55,2788,0.8276015999999997,181472,65,0.0022432110272347927,16433,0.0005
1.34,988,185.88,2788,0.8267123999999995,182408,65,0.001884288270957768,16550,0.0005
